"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Stunting","MNAR 50%","MI-RF",20,"-9.19 (0.21)","-23.2","0.92 (0.15)","0.96 (0.02)","1.04","9.24 (0.21)","0.0 (0.0)","3.83","0.36"
"Wasting","MCAR 10%","Complete data",20,"0.03 (0.08)","0.3","0.38 (0.06)","0.44 (0.00)","1.17","0.37 (0.07)","95.0 (4.9)","1.74","—"
"Wasting","MCAR 10%","CCA",20,"-0.01 (0.09)","-0.1","0.42 (0.07)","0.46 (0.00)","1.10","0.41 (0.07)","95.0 (4.9)","1.81","—"
"Wasting","MCAR 10%","IPW",20,"-0.00 (0.09)","-0.0","0.41 (0.07)","0.46 (0.00)","1.12","0.40 (0.07)","95.0 (4.9)","1.81","—"
"Wasting","MCAR 10%","MI-PMM",20,"-0.01 (0.09)","-0.1","0.42 (0.07)","0.45 (0.00)","1.08","0.41 (0.07)","95.0 (4.9)","1.77","0.08"
"Wasting","MCAR 10%","MI-RF",20,"-0.05 (0.10)","-0.6","0.43 (0.07)","0.45 (0.00)","1.05","0.42 (0.06)","95.0 (4.9)","1.78","0.08"
"Wasting","MCAR 30%","Complete data",20,"-0.17 (0.08)","-2.2","0.34 (0.05)","0.44 (0.00)","1.30","0.37 (0.07)","95.0 (4.9)","1.73","—"
"Wasting","MCAR 30%","CCA",20,"-0.16 (0.12)","-2.1","0.54 (0.09)","0.51 (0.01)","0.95","0.55 (0.11)","90.0 (6.7)","2.01","—"
"Wasting","MCAR 30%","IPW",20,"-0.17 (0.12)","-2.2","0.54 (0.09)","0.51 (0.01)","0.95","0.56 (0.11)","90.0 (6.7)","2.02","—"
"Wasting","MCAR 30%","MI-PMM",20,"-0.19 (0.11)","-2.4","0.48 (0.08)","0.48 (0.01)","0.98","0.51 (0.11)","90.0 (6.7)","1.89","0.23"
"Wasting","MCAR 30%","MI-RF",20,"-0.33 (0.11)","-4.3","0.51 (0.08)","0.48 (0.01)","0.95","0.59 (0.12)","90.0 (6.7)","1.91","0.24"
"Wasting","MCAR 50%","Complete data",20,"-0.01 (0.07)","-0.2","0.30 (0.05)","0.45 (0.00)","1.47","0.29 (0.03)","100.0 (0.0)","1.75","—"
"Wasting","MCAR 50%","CCA",20,"0.05 (0.14)","0.6","0.62 (0.10)","0.60 (0.01)","0.98","0.61 (0.10)","95.0 (4.9)","2.38","—"
"Wasting","MCAR 50%","IPW",20,"0.03 (0.14)","0.4","0.63 (0.10)","0.61 (0.01)","0.97","0.61 (0.10)","95.0 (4.9)","2.38","—"
"Wasting","MCAR 50%","MI-PMM",20,"0.11 (0.13)","1.4","0.60 (0.10)","0.54 (0.01)","0.90","0.59 (0.15)","95.0 (4.9)","2.15","0.39"
