"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Stunting","MAR-strong 50%","MI-PMM",500,"-0.90 (0.05)","-2.3","1.22 (0.04)","1.12 (0.01)","0.92","1.52 (0.05)","86.4 (1.5)","4.52","0.47"
"Stunting","MAR-strong 50%","MI-RF",500,"-1.69 (0.05)","-4.3","1.16 (0.04)","1.01 (0.00)","0.87","2.05 (0.05)","63.4 (2.2)","4.01","0.35"
"Stunting","MNAR 10%","Complete data",500,"-0.03 (0.04)","-0.1","0.96 (0.03)","0.93 (0.00)","0.97","0.96 (0.03)","94.4 (1.0)","3.65","—"
"Stunting","MNAR 10%","CCA",500,"-2.31 (0.04)","-5.8","0.97 (0.03)","0.95 (0.00)","0.98","2.51 (0.04)","33.6 (2.1)","3.71","—"
"Stunting","MNAR 10%","IPW",500,"-2.12 (0.04)","-5.4","0.97 (0.03)","0.95 (0.00)","0.97","2.34 (0.04)","41.6 (2.2)","3.71","—"
"Stunting","MNAR 10%","MI-PMM",500,"-2.16 (0.04)","-5.4","0.96 (0.03)","0.92 (0.00)","0.96","2.36 (0.04)","38.8 (2.2)","3.63","0.07"
"Stunting","MNAR 10%","MI-RF",500,"-1.99 (0.04)","-5.0","0.97 (0.03)","0.93 (0.00)","0.95","2.21 (0.04)","45.2 (2.2)","3.63","0.07"
"Stunting","MNAR 30%","Complete data",500,"0.07 (0.04)","0.2","0.93 (0.03)","0.92 (0.00)","0.99","0.94 (0.03)","94.2 (1.0)","3.63","—"
"Stunting","MNAR 30%","CCA",500,"-6.25 (0.05)","-15.8","1.02 (0.03)","1.00 (0.00)","0.98","6.33 (0.05)","0.0 (0.0)","3.93","—"
"Stunting","MNAR 30%","IPW",500,"-5.94 (0.05)","-15.0","1.03 (0.03)","1.03 (0.00)","1.00","6.03 (0.05)","0.0 (0.0)","4.02","—"
"Stunting","MNAR 30%","MI-PMM",500,"-6.04 (0.04)","-15.2","0.99 (0.03)","0.95 (0.00)","0.96","6.12 (0.04)","0.0 (0.0)","3.76","0.26"
"Stunting","MNAR 30%","MI-RF",500,"-5.69 (0.05)","-14.4","1.01 (0.03)","0.93 (0.00)","0.92","5.78 (0.05)","0.0 (0.0)","3.68","0.22"
"Stunting","MNAR 50%","Complete data",500,"-0.06 (0.04)","-0.2","0.96 (0.03)","0.92 (0.00)","0.96","0.97 (0.03)","94.2 (1.0)","3.62","—"
"Stunting","MNAR 50%","CCA",500,"-10.28 (0.05)","-25.9","1.14 (0.04)","1.10 (0.00)","0.96","10.35 (0.05)","0.0 (0.0)","4.32","—"
"Stunting","MNAR 50%","IPW",500,"-9.81 (0.06)","-24.8","1.26 (0.04)","1.19 (0.00)","0.95","9.89 (0.06)","0.0 (0.0)","4.67","—"
"Stunting","MNAR 50%","MI-PMM",500,"-9.90 (0.05)","-25.0","1.17 (0.04)","1.02 (0.01)","0.87","9.97 (0.05)","0.0 (0.0)","4.10","0.45"
"Stunting","MNAR 50%","MI-RF",500,"-9.61 (0.05)","-24.3","1.17 (0.04)","0.94 (0.00)","0.81","9.68 (0.05)","0.0 (0.0)","3.76","0.35"
"Wasting","MCAR 10%","Complete data",500,"-0.02 (0.02)","-0.3","0.44 (0.01)","0.45 (0.00)","1.02","0.44 (0.01)","95.2 (1.0)","1.75","—"
"Wasting","MCAR 10%","CCA",500,"-0.02 (0.02)","-0.3","0.45 (0.01)","0.47 (0.00)","1.02","0.45 (0.01)","93.8 (1.1)","1.83","—"
"Wasting","MCAR 10%","IPW",500,"-0.02 (0.02)","-0.3","0.45 (0.01)","0.47 (0.00)","1.03","0.45 (0.01)","94.4 (1.0)","1.83","—"
"Wasting","MCAR 10%","MI-PMM",500,"-0.02 (0.02)","-0.3","0.44 (0.01)","0.46 (0.00)","1.03","0.44 (0.01)","94.8 (1.0)","1.80","0.08"
"Wasting","MCAR 10%","MI-RF",500,"-0.08 (0.02)","-1.0","0.45 (0.01)","0.46 (0.00)","1.01","0.46 (0.01)","93.8 (1.1)","1.80","0.08"
"Wasting","MCAR 30%","Complete data",500,"-0.03 (0.02)","-0.4","0.47 (0.01)","0.45 (0.00)","0.95","0.47 (0.01)","92.8 (1.2)","1.76","—"
"Wasting","MCAR 30%","CCA",500,"-0.05 (0.03)","-0.6","0.57 (0.02)","0.52 (0.00)","0.90","0.57 (0.02)","92.0 (1.2)","2.03","—"
"Wasting","MCAR 30%","IPW",500,"-0.05 (0.03)","-0.6","0.57 (0.02)","0.52 (0.00)","0.91","0.57 (0.02)","92.2 (1.2)","2.04","—"
"Wasting","MCAR 30%","MI-PMM",500,"-0.03 (0.02)","-0.4","0.54 (0.02)","0.49 (0.00)","0.90","0.54 (0.02)","92.8 (1.2)","1.93","0.24"
"Wasting","MCAR 30%","MI-RF",500,"-0.22 (0.02)","-2.9","0.55 (0.02)","0.48 (0.00)","0.87","0.59 (0.02)","89.2 (1.4)","1.90","0.22"
"Wasting","MCAR 50%","Complete data",500,"0.01 (0.02)","0.1","0.47 (0.01)","0.45 (0.00)","0.96","0.47 (0.02)","93.6 (1.1)","1.76","—"
"Wasting","MCAR 50%","CCA",500,"0.00 (0.03)","-0.1","0.61 (0.02)","0.60 (0.00)","0.98","0.61 (0.02)","95.2 (1.0)","2.35","—"
"Wasting","MCAR 50%","IPW",500,"-0.01 (0.03)","-0.1","0.61 (0.02)","0.60 (0.00)","0.99","0.61 (0.02)","96.0 (0.9)","2.36","—"
"Wasting","MCAR 50%","MI-PMM",500,"0.05 (0.03)","0.6","0.58 (0.02)","0.52 (0.00)","0.91","0.58 (0.02)","92.0 (1.2)","2.10","0.37"
"Wasting","MCAR 50%","MI-RF",500,"-0.27 (0.03)","-3.5","0.57 (0.02)","0.51 (0.00)","0.90","0.63 (0.02)","90.6 (1.3)","2.04","0.34"
"Wasting","MAR 10%","Complete data",500,"0.05 (0.02)","0.7","0.43 (0.01)","0.45 (0.00)","1.05","0.43 (0.01)","95.8 (0.9)","1.77","—"
