"scenario","mechanism","rate","method","outcome","axis","n_groups","mean_abs_bias","max_abs_bias","mean_coverage","min_coverage","n_degenerate_ci"
5,"MAR",0.3,"MI-PMM","stunted","region",23,0.00678427859108585,0.033023632416991,0.94495652173913,0.874,0
5,"MAR",0.3,"MI-PMM","stunted","wealth",5,0.00572567112527641,0.015223141792475,0.9496,0.936,0
5,"MAR",0.3,"MI-PMM","wasted","region",23,0.0035824120707238,0.00760544124243363,0.963650593697003,0.888,29
5,"MAR",0.3,"MI-PMM","wasted","wealth",5,0.00111216861336782,0.00199514961543376,0.9764,0.97,0
5,"MAR",0.3,"MI-RF","stunted","region",23,0.00969270527388074,0.024729147582684,0.940608695652174,0.876,0
5,"MAR",0.3,"MI-RF","stunted","wealth",5,0.00545584734273552,0.0139396658175458,0.9508,0.928,0
5,"MAR",0.3,"MI-RF","wasted","region",23,0.00351949468614836,0.0117004821556368,0.953773221445992,0.82,38
5,"MAR",0.3,"MI-RF","wasted","wealth",5,0.00158064630019872,0.00376247162975123,0.9672,0.958,0
6,"MAR",0.5,"Complete data","stunted","region",23,0.0018250710487554,0.00564838586530891,0.932173913043478,0.894,0
6,"MAR",0.5,"Complete data","stunted","wealth",5,0.000508589788762437,0.000726286697879941,0.9408,0.918,0
6,"MAR",0.5,"Complete data","wasted","region",23,0.000824262222097265,0.00514794428453466,0.918783351600226,0.602,26
6,"MAR",0.5,"Complete data","wasted","wealth",5,0.000259778694656082,0.00049638050140785,0.9472,0.94,0
6,"MAR",0.5,"CCA","stunted","region",23,0.00582414309425998,0.0180561542922163,0.934347826086957,0.908,0
6,"MAR",0.5,"CCA","stunted","wealth",5,0.00339332759519879,0.00564326521039848,0.9452,0.932,0
6,"MAR",0.5,"CCA","wasted","region",23,0.00263783713153317,0.0101182011108966,0.939278264003237,0.798,119
6,"MAR",0.5,"CCA","wasted","wealth",5,0.000914581803828761,0.00174033486731393,0.9516,0.94,0
6,"MAR",0.5,"IPW","stunted","region",23,0.00195600767838045,0.00748098785188805,0.93495652173913,0.896,0
6,"MAR",0.5,"IPW","stunted","wealth",5,0.000942522305700955,0.00129601539800689,0.946,0.934,0
6,"MAR",0.5,"IPW","wasted","region",23,0.00125993565544227,0.00523376924926988,0.938210244640104,0.85,119
6,"MAR",0.5,"IPW","wasted","wealth",5,0.000801315751179162,0.00149987037797732,0.9424,0.92,0
6,"MAR",0.5,"MI-PMM","stunted","region",23,0.0110383460590156,0.04836007477666,0.948,0.866,0
6,"MAR",0.5,"MI-PMM","stunted","wealth",5,0.00875633508608727,0.0230305657562042,0.9456,0.91,0
6,"MAR",0.5,"MI-PMM","wasted","region",23,0.00591800817907354,0.0113201748260732,0.971007401227598,0.921370967741935,9
6,"MAR",0.5,"MI-PMM","wasted","wealth",5,0.00227647217901126,0.00325548900241816,0.9796,0.968,0
6,"MAR",0.5,"MI-RF","stunted","region",23,0.0183001965178107,0.0463826948303203,0.930434782608696,0.8,0
6,"MAR",0.5,"MI-RF","stunted","wealth",5,0.009043859172251,0.0236788824910547,0.938,0.862,0
6,"MAR",0.5,"MI-RF","wasted","region",23,0.00640619110051864,0.0212098875685066,0.960436383104534,0.836,46
6,"MAR",0.5,"MI-RF","wasted","wealth",5,0.0028983895312964,0.00804571073364073,0.958,0.906,0
7,"MAR-strong",0.1,"Complete data","stunted","region",23,0.00150227794978838,0.00597317384118795,0.930173913043478,0.898,0
7,"MAR-strong",0.1,"Complete data","stunted","wealth",5,0.000502013023877479,0.00120933955386987,0.9464,0.938,0
7,"MAR-strong",0.1,"Complete data","wasted","region",23,0.000888869380038178,0.00459019570815426,0.916189826537881,0.62,16
7,"MAR-strong",0.1,"Complete data","wasted","wealth",5,0.000345739300284464,0.000615045508314357,0.944,0.932,0
7,"MAR-strong",0.1,"CCA","stunted","region",23,0.00572901519659824,0.0137103644329196,0.928,0.898,0
7,"MAR-strong",0.1,"CCA","stunted","wealth",5,0.00556027598316575,0.0113569317639204,0.9296,0.902,0
7,"MAR-strong",0.1,"CCA","wasted","region",23,0.00177982143804239,0.00757295782502057,0.919637503402981,0.636,19
7,"MAR-strong",0.1,"CCA","wasted","wealth",5,0.00232363797214069,0.00445080286648021,0.942,0.932,0
7,"MAR-strong",0.1,"IPW","stunted","region",23,0.0015970117627069,0.00603388291285439,0.931391304347826,0.896,0
7,"MAR-strong",0.1,"IPW","stunted","wealth",5,0.000628409034672728,0.00138905470108486,0.944,0.938,0
7,"MAR-strong",0.1,"IPW","wasted","region",23,0.00100446159023533,0.00512062534615343,0.918945098568054,0.628,19
7,"MAR-strong",0.1,"IPW","wasted","wealth",5,0.000454289955185129,0.000884366176334368,0.946,0.93,0
7,"MAR-strong",0.1,"MI-PMM","stunted","region",23,0.00350710610569888,0.0160028401718216,0.936434782608696,0.904,0
7,"MAR-strong",0.1,"MI-PMM","stunted","wealth",5,0.00220187776540487,0.00425741055912071,0.9488,0.946,0
7,"MAR-strong",0.1,"MI-PMM","wasted","region",23,0.00201515130409231,0.00651504156936258,0.941912955262862,0.702,19
7,"MAR-strong",0.1,"MI-PMM","wasted","wealth",5,0.000951324090750864,0.00175087577432857,0.9604,0.954,0
7,"MAR-strong",0.1,"MI-RF","stunted","region",23,0.00438346477924693,0.0123326408286085,0.93704347826087,0.898,0
7,"MAR-strong",0.1,"MI-RF","stunted","wealth",5,0.00235317394380889,0.0068041664539385,0.9464,0.942,0
7,"MAR-strong",0.1,"MI-RF","wasted","region",23,0.00235628859574869,0.00780661332860481,0.932508487297525,0.674,19
7,"MAR-strong",0.1,"MI-RF","wasted","wealth",5,0.00171784205465471,0.00389449256642432,0.9476,0.934,0
8,"MAR-strong",0.3,"Complete data","stunted","region",23,0.00121876088502065,0.00274142918101422,0.934434782608696,0.904,0
8,"MAR-strong",0.3,"Complete data","stunted","wealth",5,0.000675623632035849,0.00156668668508214,0.9456,0.932,0
8,"MAR-strong",0.3,"Complete data","wasted","region",23,0.000709582272265784,0.00235349830167515,0.919601449275362,0.622,20
8,"MAR-strong",0.3,"Complete data","wasted","wealth",5,0.0003664862944458,0.000970181666477749,0.9496,0.942,0
8,"MAR-strong",0.3,"CCA","stunted","region",23,0.0160781748075663,0.0344577440819632,0.915565217391304,0.856,0
8,"MAR-strong",0.3,"CCA","stunted","wealth",5,0.017309748869149,0.0291785288516112,0.8272,0.64,0
8,"MAR-strong",0.3,"CCA","wasted","region",23,0.00404364064259766,0.0201244867381294,0.931933868195896,0.686,27
8,"MAR-strong",0.3,"CCA","wasted","wealth",5,0.00548356680058597,0.0116086548582314,0.9144,0.842,0
8,"MAR-strong",0.3,"IPW","stunted","region",23,0.00140598158392237,0.00397279202418943,0.935217391304348,0.916,0
8,"MAR-strong",0.3,"IPW","stunted","wealth",5,0.000538664896214514,0.00130879189383903,0.9496,0.93,0
8,"MAR-strong",0.3,"IPW","wasted","region",23,0.000862243872276647,0.00218300508423715,0.930565833126557,0.68,27
8,"MAR-strong",0.3,"IPW","wasted","wealth",5,0.000518414924394646,0.0013237911704546,0.944,0.93,0
8,"MAR-strong",0.3,"MI-PMM","stunted","region",23,0.00901725090622192,0.0378350078197347,0.939913043478261,0.872,0
8,"MAR-strong",0.3,"MI-PMM","stunted","wealth",5,0.00685785969474759,0.0130632829084266,0.9488,0.892,0
8,"MAR-strong",0.3,"MI-PMM","wasted","region",23,0.00480750024180047,0.0165019501666645,0.964102649234396,0.83,26
8,"MAR-strong",0.3,"MI-PMM","wasted","wealth",5,0.00226757386173954,0.00504769303171601,0.9688,0.938,0
8,"MAR-strong",0.3,"MI-RF","stunted","region",23,0.0123386454839778,0.0329800080524849,0.937478260869565,0.886,0
8,"MAR-strong",0.3,"MI-RF","stunted","wealth",5,0.00899724178463949,0.0190433108138883,0.92,0.822,0
8,"MAR-strong",0.3,"MI-RF","wasted","region",23,0.00570852712595035,0.0230594343316402,0.9482982180438,0.776,27
8,"MAR-strong",0.3,"MI-RF","wasted","wealth",5,0.00453101777564848,0.0119822491224799,0.9284,0.816,0
9,"MAR-strong",0.5,"Complete data","stunted","region",23,0.0013470370820344,0.00526430077303786,0.933826086956522,0.898,0
9,"MAR-strong",0.5,"Complete data","stunted","wealth",5,0.000518648690856804,0.00130138985059497,0.9428,0.934,0
9,"MAR-strong",0.5,"Complete data","wasted","region",23,0.000752565314511153,0.00331632060897874,0.919602164582945,0.608,34
9,"MAR-strong",0.5,"Complete data","wasted","wealth",5,0.000374149358324948,0.000503778498088289,0.9472,0.926,0
9,"MAR-strong",0.5,"CCA","stunted","region",23,0.027594018114865,0.0505551672006451,0.897391304347826,0.85,0
9,"MAR-strong",0.5,"CCA","stunted","wealth",5,0.0303481662038159,0.0461480999400984,0.728,0.486,0
9,"MAR-strong",0.5,"CCA","wasted","region",23,0.00647969098917192,0.0294881845699175,0.935126820019188,0.734,81
9,"MAR-strong",0.5,"CCA","wasted","wealth",5,0.00894426349160481,0.0182567809952219,0.8904,0.784,0
9,"MAR-strong",0.5,"IPW","stunted","region",23,0.00186088256701141,0.0062426524347482,0.935739130434783,0.92,0
9,"MAR-strong",0.5,"IPW","stunted","wealth",5,0.000851629337641735,0.00155809633913395,0.9432,0.936,0
9,"MAR-strong",0.5,"IPW","wasted","region",23,0.00153367134507879,0.00657800740366315,0.929307735184857,0.718,81
9,"MAR-strong",0.5,"IPW","wasted","wealth",5,0.000636183880189015,0.00130566336566244,0.942,0.928,0
9,"MAR-strong",0.5,"MI-PMM","stunted","region",23,0.0157581831056104,0.0547168716989764,0.935826086956522,0.836,0
9,"MAR-strong",0.5,"MI-PMM","stunted","wealth",5,0.0116860660314358,0.0241610575931754,0.9228,0.834,0
9,"MAR-strong",0.5,"MI-PMM","wasted","region",23,0.00724869736486302,0.0213076768194768,0.972002915343462,0.872,33
9,"MAR-strong",0.5,"MI-PMM","wasted","wealth",5,0.00340567188337048,0.00735393857961239,0.9652,0.906,0
9,"MAR-strong",0.5,"MI-RF","stunted","region",23,0.0236970883262863,0.0522482552885225,0.907652173913043,0.792,0
9,"MAR-strong",0.5,"MI-RF","stunted","wealth",5,0.0165776034286637,0.0339317714644442,0.848,0.596,0
9,"MAR-strong",0.5,"MI-RF","wasted","region",23,0.00992523414436181,0.0356278671382626,0.944740151885119,0.726,65
