"analysis","outcome","axis","method_a","method_b","spearman","kendall","max_rank_shift","n_groups_rank_changed","topk_overlap","same_rank1"
"Sensitivity (flagged excluded)","wasted","region","IPW","MI-PMM",0.99901185770751,0.992094861660079,1,2,1,TRUE
"Sensitivity (flagged excluded)","wasted","region","IPW","MI-RF",0.99802371541502,0.984189723320158,1,4,1,TRUE
"Sensitivity (flagged excluded)","wasted","region","MI-PMM","MI-RF",0.99901185770751,0.992094861660079,1,2,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA","CCA (outcome + covariates)",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA","IPW",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA","MI-PMM",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA","MI-RF",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA (outcome + covariates)","IPW",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA (outcome + covariates)","MI-PMM",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","CCA (outcome + covariates)","MI-RF",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","IPW","MI-PMM",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","IPW","MI-RF",1,1,0,0,1,TRUE
"Sensitivity (flagged excluded)","wasted","wealth","MI-PMM","MI-RF",1,1,0,0,1,TRUE
