"scenario","mechanism","rate","method","outcome","n_sim","theta","mean_est","bias","bias_mcse","rel_bias","emp_se","emp_se_mcse","mod_se","mod_se_mcse","se_ratio","rmse","rmse_mcse","coverage","coverage_mcse","ci_width","mean_fmi","label"
7,"MNAR",0.1,"MI-PMM","stunted",20,0.396388083090866,0.377817896017529,-0.0185701870733366,0.0022641039000015,-0.0468484999057847,0.0101253804570515,0.00164255360723254,0.00934462157115259,9.21946138154406e-05,0.922890908720851,0.0210297173273622,0.00264297091140501,0.65,0.106653645038508,0.0367078843415505,0.088345029292434,"MNAR 10%"
7,"MNAR",0.1,"MI-RF","stunted",20,0.396388083090866,0.379011369134509,-0.0173767139563567,0.00228243519579162,-0.0438376295797302,0.0102073605040562,0.00165585252696202,0.0093053514479876,9.32023693020387e-05,0.9116315078996,0.0200232586248548,0.00260399643627006,0.65,0.106653645038508,0.0365403992128991,0.0748386056052754,"MNAR 10%"
8,"MNAR",0.3,"Complete data","stunted",20,0.396388083090866,0.396508041286977,0.000119958196110659,0.00281889125166196,0.0003026281596946,0.0126064649197912,0.00204503865472364,0.00925401582756511,0.000114086621408414,0.734069057935265,0.0122878476493666,0.00190671507058196,0.8,0.0894427190999916,0.0362868351180239,NA,"MNAR 30%"
8,"MNAR",0.3,"CCA","stunted",20,0.396388083090866,0.332489940321822,-0.0638981427690436,0.00301538757818032,-0.161200968179449,0.0134852232066393,0.00218759207284657,0.0100030674423734,0.000147098622173224,0.741779894117619,0.0652359665523499,0.00295955835839274,0,0,0.0392026142845182,NA,"MNAR 30%"
8,"MNAR",0.3,"IPW","stunted",20,0.396388083090866,0.334818472950448,-0.061569610140418,0.00301637609215578,-0.155326592213177,0.013489643975531,0.00218830921625866,0.0102347018809913,0.00012477770965825,0.758708080032075,0.0629578340057877,0.0028564535951599,0,0,0.0401327778876341,NA,"MNAR 30%"
8,"MNAR",0.3,"MI-PMM","stunted",20,0.396388083090866,0.334082424473547,-0.0623056586173185,0.00295609856105062,-0.157183480722946,0.013220074661397,0.0021445792990266,0.00931896891683183,0.000150939286735695,0.704910460456286,0.0636241066820439,0.0028596124611417,0,0,0.0368083870113564,0.224340731838178,"MNAR 30%"
8,"MNAR",0.3,"MI-RF","stunted",20,0.396388083090866,0.337553044142643,-0.0588350389482233,0.00298919076937296,-0.148427870206018,0.0133680675160657,0.00216858691022815,0.00921468265682204,0.000138771918276705,0.689305514484266,0.0602605324876684,0.00285342926699427,0,0,0.0363355926627637,0.200551600312821,"MNAR 30%"
9,"MNAR",0.5,"Complete data","stunted",20,0.396388083090866,0.399162829002532,0.00277474591166577,0.00178414887733834,0.00700007399321764,0.0079789563434169,0.0012943576371694,0.00949803891298554,0.000115933810794751,1.1903861237218,0.00825710433432636,0.000960540544641069,1,0,0.0372433206816603,NA,"MNAR 50%"
9,"MNAR",0.5,"CCA","stunted",20,0.396388083090866,0.298745654059281,-0.0976424290315849,0.00234421590940371,-0.24633038478405,0.0104836522547264,0.00170067296740243,0.0113286690035953,0.000143415981675854,1.08060327911849,0.0981756363032917,0.00241240673046676,0,0,0.0444198184546264,NA,"MNAR 50%"
9,"MNAR",0.5,"IPW","stunted",20,0.396388083090866,0.302933373926486,-0.0934547091643801,0.00224887940216992,-0.235765688099551,0.010057294432902,0.00163150859563588,0.0122093916379017,0.000168455081129269,1.21398371295158,0.0939674112538142,0.00223215644325098,0,0,0.0478545855977699,NA,"MNAR 50%"
